Date,Open,High,Low,Close,Volume
4/19/2018,103.74,103.84,99.91,101.29,8624892
4/20/2018,100.96,101.63,98.8701,99.96,7858035
4/23/2018,100.59,100.59,98.02,98.09,5934234
4/24/2018,99.76,101.22,97.39,98.42,8420271
4/25/2018,101.46,104.25,99.7601,103,12696034
4/26/2018,104.02,104.32,102.2,102.72,6672907
4/27/2018,103.17,103.39,100.87,102.51,5114670
4/30/2018,102.93,104.23,101.33,101.43,5592689
5/1/2018,101.1,103.47,100.7,103.4,4234729
5/2/2018,103.28,104.22,101.87,102.96,5345035
5/3/2018,101.7,104.295,100.35,103.6,4788854
5/4/2018,102.5,104.75,101.86,104.69,6167996
5/7/2018,104.99,105.17,103.97,104.51,4113778
5/8/2018,104.55,108,104.06,105.46,5496502
5/9/2018,106,107.67,105.71,107.54,5131592
5/10/2018,108.15,110.04,107.81,109.97,4376505
5/11/2018,109.62,110.74,109,109.25,3583533
5/14/2018,109.73,111,109.7,110.64,4120362
5/15/2018,109.99,110.86,108.35,109.21,4336713
5/16/2018,109.75,111.57,109.04,111.4,3898161
5/17/2018,110.71,111.66,110.03,110.33,3792819
5/18/2018,109.92,111.0705,109.28,110.54,4239567
5/21/2018,111.71,112.28,109.88,110.41,5199500
5/22/2018,111.05,111.83,110.685,110.86,2999608
5/23/2018,109.49,111.08,108.9,111.07,3123547
5/24/2018,110.99,111.2,109.58,110.75,2855520
5/25/2018,110.64,111.76,110.55,111.56,4100151
5/29/2018,110.64,111.76,110.01,110.94,3492823
5/30/2018,111.34,112.3599,111.04,111.85,3621826
5/31/2018,112,112.88,111.5,111.91,6582077
6/1/2018,112.55,114.8,112.32,114.8,4728383
6/4/2018,114.74,116.38,114.31,115.74,3905744
6/5/2018,116.69,117.93,115.83,117.66,5366553
6/6/2018,117.57,118.12,116.91,118.11,4015442
6/7/2018,118.35,118.48,116.14,117.24,6985116
6/8/2018,116.29,116.67,115.35,115.74,4948563
6/11/2018,115,115.83,114.48,115.28,3741296
6/12/2018,115.49,115.77,114.58,115.41,3269123
6/13/2018,115.5,115.61,113.79,114,4948571
6/14/2018,114.86,115.54,113.97,114.72,2941184
6/15/2018,114.87,116.02,113.87,115.89,7027646
6/18/2018,114.6,114.93,113.03,114.39,3170574
6/19/2018,112.75,113.905,112.2035,113.66,3486518
6/20/2018,114.41,115.11,113.57,114.24,3454806
6/21/2018,114.38,114.5,111.61,112.11,3480145
6/22/2018,112.75,113.22,111.41,112.38,3822597
6/25/2018,110.96,111,108.61,110.19,5331154
6/26/2018,110.63,112.01,110.13,111.51,4001893
6/27/2018,112.18,112.5,108.77,108.78,4364895
6/28/2018,108.23,109.595,107.45,109.1,4198780
6/29/2018,109.79,111.55,109.62,110.25,5343292
7/2/2018,108.94,110.33,108.38,110.24,3392524
7/3/2018,110.61,111.29,108.74,108.91,2201492
7/5/2018,109.84,111.65,109.41,111.51,4097689
7/6/2018,111.56,112.93,110.83,112.71,3419735
7/9/2018,113.4,113.5,110.835,112.09,3657979
7/10/2018,112.63,114.05,112.38,113.73,4512841
7/11/2018,113.29,113.79,111.52,111.76,5000193
7/12/2018,113.24,116.6895,113.06,115.84,5818733
7/13/2018,115.53,115.98,114.83,115.14,2715830
7/16/2018,114.91,115.49,114.42,114.56,3013880
7/17/2018,113.67,115.86,113.195,115.8,3915077
7/18/2018,115.5,116.95,114.14,115.68,5491924
7/19/2018,115.53,115.66,114.23,114.59,5013928
7/20/2018,114.97,115.73,114.24,115,4359113
7/23/2018,114.35,114.83,113.04,114.67,3052841
7/24/2018,115.06,116.46,113.35,113.8,4286663
7/25/2018,113.4,114.39,110.03,113.22,8222143
7/26/2018,113.95,114.46,112.94,113.3,5520420
7/27/2018,113.3,114.29,112.02,112.6,4343912
7/30/2018,111.99,112.3732,110.7,110.91,4422499
7/31/2018,111.99,112.59,110.92,111.32,5206264
8/1/2018,111.16,111.975,110.33,111,5302979
8/2/2018,110.15,113,110.0038,112.21,4516692
8/3/2018,112.33,112.98,111.93,112.84,3337888
8/6/2018,112.28,113.52,112.12,113.11,2970787
8/7/2018,113.77,115.81,113.34,115.76,5234502
8/8/2018,115.66,116.61,115.16,116.16,2890833
8/9/2018,116,116.09,114.03,114.34,3505245
8/10/2018,111.74,112.32,109.3499,110.09,7652937
8/13/2018,110.56,111.435,109.84,109.94,3989754
8/14/2018,110.67,110.99,109.8675,110.34,3109606
8/15/2018,109.24,110.08,108.35,109.6,3532643
8/16/2018,110.12,110.54,109.08,109.4,2916321
8/17/2018,108.87,109.98,107.01,109.64,3744803
8/20/2018,109.75,109.8,108.54,109.03,3238201
8/21/2018,109.5,111.75,109.34,111.51,4714728
8/22/2018,110.64,112.69,109.27,112.19,3999219
8/23/2018,112.18,113.66,112.1604,112.4,3038746
8/24/2018,112.96,113.79,112.34,113.64,3191880
8/27/2018,114.65,115.66,114.15,115.25,3686155
8/28/2018,115.74,116.07,114.66,115.02,3214435
8/29/2018,115.41,115.7795,114.86,115.47,5113913
8/30/2018,114.92,115.36,112.49,112.58,5688612
8/31/2018,112.63,113.43,111.86,112.4,6550289
