Date,Open,High,Low,Close,Volume
4/19/2018,124.31,124.72,123.15,123.96,7294128
4/20/2018,124.06,124.82,123.31,124.2,7479439
4/23/2018,124.3,124.97,123.9,124.46,8004330
4/24/2018,124.87,125.04,120.55,121.27,9434388
4/25/2018,121.14,121.35,119.373,121.21,8001229
4/26/2018,125.14,127.59,123.781,127.08,14345791
4/27/2018,126.44,127.06,125.39,126.01,6842673
4/30/2018,126.74,127.9,126.66,126.88,8449212
5/1/2018,126.86,127.57,125.51,127.51,6407333
5/2/2018,127.88,128.1,126,126.38,8515290
5/3/2018,125.81,127.46,125.3217,127.18,6778649
5/4/2018,126.33,128.36,126.07,128.16,5798380
5/7/2018,128.4,129.52,128.25,129.26,5737264
5/8/2018,129.14,129.97,128.31,129.9,5044721
5/9/2018,130.01,131,129.59,130.84,6119401
5/10/2018,131.29,131.75,130.72,131,6585753
5/11/2018,131,132.09,130.231,131.82,5437124
5/14/2018,132.43,132.5,130.67,131.21,5017015
5/15/2018,130.56,131.4,129.9,131.1,5532295
5/16/2018,131.09,131.4,130.54,130.89,5124193
5/17/2018,130.58,130.8,129.61,129.93,4911730
5/18/2018,129.62,130.34,129.07,129.93,6082685
5/21/2018,130.95,131.5066,129.99,130.66,5591804
5/22/2018,131,131.78,130.5,130.71,6645481
5/23/2018,130.06,131.91,129.8,131.88,6569116
5/24/2018,131.82,132.21,130.5,131.89,6035241
5/25/2018,131.88,132.1,130.93,131.28,7509647
5/29/2018,130.39,131.05,129.06,129.69,10401923
5/30/2018,130.2,131.1,129.87,130.64,10631269
5/31/2018,130.65,131.5817,129.98,130.72,11085956
6/1/2018,131.84,132.51,130.36,130.85,8323370
6/4/2018,131.94,133.57,131.43,133.07,7177958
6/5/2018,133.38,133.62,132.7,133.56,6198152
6/6/2018,134,136.31,133.61,136.28,8065764
6/7/2018,136.36,136.58,133.05,133.84,8309178
6/8/2018,133.44,134.915,133.23,134.74,5260976
6/11/2018,134.9,135.19,133.81,133.91,7988703
6/12/2018,134.04,135.129,133.54,134.86,5743302
6/13/2018,135.18,135.77,134.31,134.4,4881581
6/14/2018,134.96,135.7,134.75,135,6464068
6/15/2018,135.1,135.73,134,135.1,10044514
6/18/2018,134.37,136.31,134.12,136.2,8713298
6/19/2018,134.56,135.235,133.57,135.11,6557632
6/20/2018,135.52,136.69,135.5,135.5,7191977
6/21/2018,135.27,136.115,134.26,134.53,8689806
6/22/2018,135.6,135.85,134.26,135.33,6173350
6/25/2018,134.91,134.91,129.53,130.93,10086236
6/26/2018,132.11,133.79,131.61,132.55,7733865
6/27/2018,133.01,133.657,131.01,131.02,7282062
6/28/2018,131,133.12,130.6535,132.74,6576536
6/29/2018,133.28,134.19,132.45,132.45,7258961
7/2/2018,131.96,133.05,131.15,132.5,7554385
7/3/2018,133.01,133.41,131.42,131.45,3621640
7/5/2018,132.13,133.33,131.83,133.29,4729298
7/6/2018,133.58,134.28,132.5,134.09,4839785
7/9/2018,134.94,135.9689,134.79,135.52,8960741
7/10/2018,135.57,137.33,135.34,136.69,6561867
7/11/2018,136.63,138.81,136.6,138.15,10648707
7/12/2018,139.01,139.95,138.66,139.9,11816014
7/13/2018,139.79,140.03,137.54,139.42,7866197
7/16/2018,139.42,139.55,138.16,138.46,4970287
7/17/2018,138.18,139.91,137.42,139.64,5412609
7/18/2018,139.91,141.17,139.37,140.9,7008550
7/19/2018,140.95,140.99,139.93,140.13,7937007
7/20/2018,140,141.47,139.92,140.99,7156679
7/23/2018,140.66,140.97,139.64,140.03,7723617
7/24/2018,140.99,141.4725,139.51,140.03,8336698
7/25/2018,140.34,142.77,139.9,142.64,8386662
7/26/2018,141.61,142.79,139.53,142.5,10520800
7/27/2018,143.08,143.14,139.21,140.71,7015207
7/30/2018,140.13,140.42,135.31,136.48,12812351
7/31/2018,137.13,138.02,135.63,136.74,7683341
8/1/2018,137.74,138.735,137.41,138.25,7087731
8/2/2018,137.45,139.19,137,138.92,12300023
8/3/2018,139.29,139.86,137.94,139.82,4617813
8/6/2018,139.65,140.26,139.05,139.71,5143228
8/7/2018,139.98,140.69,139.8726,140.28,10034524
8/8/2018,139.98,140.99,139.83,140.68,5389491
8/9/2018,140.73,141.24,139.9,140.01,5679260
8/10/2018,139.88,140.7401,139.25,139.73,6523759
8/13/2018,140.53,141.24,139.83,140.21,4817496
8/14/2018,140.3,140.99,139.88,140.76,5888925
8/15/2018,140.35,140.69,138.84,139.92,5288739
8/16/2018,141.07,141.49,140.42,140.65,5931651
8/17/2018,140.78,141.71,140.565,141.33,7699607
8/20/2018,141.54,141.6,140.7,140.94,4662168
8/21/2018,141,141.4574,139.8,140.04,6854347
8/22/2018,139.85,141.53,139.85,141.14,4191949
8/23/2018,141.01,142.445,140.77,142.1,4427093
8/24/2018,142.32,144.38,142.32,144.2,5714023
8/27/2018,144.99,145.6,144.71,145.4,7194938
8/28/2018,145.63,146.17,144.87,145.2,4926041
8/29/2018,145.46,147.2999,145.42,147.03,5192935
8/30/2018,146.82,147.71,146.36,146.74,7804963
8/31/2018,146.74,147.64,146.5,146.89,5786569
9/4/2018,146.93,147.86,146.6669,147.8,7638091
9/5/2018,147,147.82,142.55,142.67,11363391
9/6/2018,143.29,144.7,142.54,144.5,9589246
9/7/2018,143.99,144.44,142.75,143.2,13626619
9/10/2018,144.13,144.44,143.21,144.08,5362694
9/11/2018,143.46,145.52,143.25,145.49,9896017
9/12/2018,145.85,146.8,145.0733,146.57,6964135
9/13/2018,147.15,148.065,147.09,147.63,5803447
9/14/2018,147.91,148.37,147.35,147.84,4928283
9/17/2018,147.83,147.9,145.83,146.18,7708643
9/18/2018,146.2,148.0897,145.95,147.63,5692208
9/19/2018,148.28,148.82,147.251,147.42,7432335
9/20/2018,147.99,149.485,147.2,149.24,7172740
9/21/2018,149.95,150.26,149.35,150.05,15628076
9/24/2018,149.16,149.65,147.27,149.11,6706692
9/25/2018,149.71,149.96,149.1,149.58,4230860
9/26/2018,150,150.42,149.04,149.27,5852463
9/27/2018,149.9,150.64,149.562,150.02,5868620
9/28/2018,149.81,150.37,149.55,150.09,6035936
10/1/2018,150.89,151.56,150.61,150.79,9802691
10/2/2018,150.84,150.84,149.17,149.67,8047706
10/3/2018,150.71,150.71,149.19,149.37,7521101
10/4/2018,149.18,149.28,146.1,146.76,9208887
10/5/2018,146.64,147.41,144.4,145.36,7085718
10/8/2018,145.01,145.01,140.18,141.89,11637314
10/9/2018,141.46,143.29,141.12,142.31,10798415
10/10/2018,142.57,142.6885,135.21,135.52,15450086
10/11/2018,134.09,137.24,132.26,133.73,15657170
10/12/2018,138.48,140.98,137.43,140.06,12993257
10/15/2018,139.9,140.06,137.22,137.23,7953001
10/16/2018,138.71,142.14,138.68,141.74,11059518
10/17/2018,142.34,142.86,140.73,142.45,9170646
10/18/2018,142.46,142.46,137.95,139.29,10222553
10/19/2018,139.9,142.19,139.38,140.08,8696873
10/22/2018,140.97,141.54,139.51,140.64,6099509
10/23/2018,136.89,140.04,135.59,139.12,10736088
10/24/2018,139.7,140.18,134,134.26,13849587
10/25/2018,135.45,140.9,132.5,140.52,14985905
10/26/2018,137.98,139.87,136.06,137.74,12034937
10/29/2018,139.61,141.51,132.27,134.33,12768190
10/30/2018,133.08,134.86,129.79,132.76,15107555
10/31/2018,134.99,139.12,134.99,137.85,13205283
11/1/2018,139,140.87,137.49,140.83,16023953
11/2/2018,141.11,141.4546,137.85,139.78,17063121
11/5/2018,139.8,140.21,138.07,139.8,6280034
11/6/2018,139.8,140.91,139.72,140.79,4732703
11/7/2018,142.34,144.9,142.32,144.78,20502121
11/8/2018,144.6,145.46,143.652,145.23,5927356
11/9/2018,144.2,144.57,142.36,143.93,8339828
11/12/2018,143.42,143.64,139.17,139.72,11335081
11/13/2018,140.35,141.9,139.01,139.72,6286973
11/14/2018,142.02,142.6,138.4128,139.49,6613922
11/15/2018,138.85,141.91,137.93,141.84,8564991
11/16/2018,140.42,141.84,139.92,140.18,8628027
11/19/2018,140.47,140.57,134.25,134.76,16252967
11/20/2018,130.31,134.53,129.54,133.37,12720172
11/21/2018,134.36,135.78,133.63,134.42,7416670
11/23/2018,132.59,134.25,132.49,132.87,3676032
11/26/2018,134.6,136.52,134.25,135.94,9144597
11/27/2018,135.28,136.31,134.12,135.91,7881338
11/28/2018,137.07,141.54,136.8686,141.38,11265076
11/29/2018,140.69,140.7,138.71,139.1,8751920
11/30/2018,139.01,142.26,138.63,141.71,11362793
12/3/2018,145,145.72,143.855,145,11287552
12/4/2018,143.13,144.35,138.5,138.64,13988900
12/6/2018,135.04,141.11,133.48,141.05,16391896
12/7/2018,140.82,142.13,135.9938,137.11,14007711
12/10/2018,136.25,138.27,134.8555,137.88,15744294
12/11/2018,139.94,140.05,135.92,136.81,12466320
12/12/2018,139.3,140.88,137.75,137.8,10387198
12/13/2018,138.3,139.13,136.15,137.54,8780914
12/14/2018,135.69,136.72,134.55,135.09,9351186
12/17/2018,134.21,134.43,130.69,131.4,11796196
12/18/2018,132.29,134.17,131.8,132.66,12762333
12/19/2018,132.93,135.87,129.52,131.26,13819008
12/20/2018,130.16,132.01,127.15,128.76,18091669
12/21/2018,127.18,130.33,122.9501,124.26,25448609
12/24/2018,122.08,125.21,121.6,121.73,8617781
12/26/2018,123.02,130.24,123,130.23,13499510
12/27/2018,127.99,132.01,126.52,132.01,10882979
12/28/2018,133.08,133.62,129.66,130.94,7381742
12/31/2018,131.68,132.44,130.23,131.94,7976007
1/2/2019,130,133.74,129.6,132.92,8798561
1/3/2019,131.21,131.28,127.88,128.13,9428280
1/4/2019,130.44,134.5886,130.13,133.65,11065782
1/7/2019,134.45,137.169,134.04,136.06,12928362
