Date,Open,High,Low,Close,Volume
4/19/2018,19.38,19.54,19.27,19.41,3261552
4/20/2018,19.41,19.445,19.01,19.08,2998324
4/23/2018,19.11,19.24,19.01,19.14,2609688
4/24/2018,19.27,19.33,18.91,19.02,3915891
4/25/2018,19.01,19.23,18.925,19.15,3673358
4/26/2018,19.26,19.62,19.16,19.58,4490642
4/27/2018,19.64,19.64,19.3,19.34,3092559
4/30/2018,19.41,19.77,19.33,19.75,5153104
5/1/2018,19.7,20.1,19.61,19.91,7472274
5/2/2018,20.13,20.32,19.21,19.25,7339545
5/3/2018,19.13,19.415,19.03,19.4,5418600
5/4/2018,19.28,19.695,19.13,19.61,4795005
5/7/2018,19.66,19.83,19.475,19.78,6751537
5/8/2018,19.71,19.845,19.6,19.72,3916299
5/9/2018,19.76,19.96,19.705,19.92,3620043
5/10/2018,19.92,20.105,19.86,20.06,2827015
5/11/2018,20.03,20.03,19.83,19.88,3864008
5/14/2018,19.91,19.95,19.64,19.75,5085862
5/15/2018,19.62,20.03,19.56,20.03,3652334
5/16/2018,20.03,20.25,19.92,20.02,4001701
5/17/2018,20.02,20.15,19.94,20.11,3845350
5/18/2018,20.05,20.205,19.985,20.09,3196061
5/21/2018,20.2,20.24,20.05,20.14,3039876
5/22/2018,20.15,20.285,20.15,20.2,4248272
5/23/2018,20.07,20.205,20.015,20.12,3221434
5/24/2018,20.08,20.17,19.85,20.06,4319090
5/25/2018,20.02,20.14,19.9,20,3052193
5/29/2018,19.86,19.99,19.61,19.7,4505241
5/30/2018,19.83,20.02,19.78,19.95,3578829
5/31/2018,19.96,19.985,19.84,19.89,5190241
6/1/2018,20,20.215,19.98,20.06,3524150
6/4/2018,20.11,20.44,20.09,20.36,3227862
6/5/2018,20.44,20.82,20.4,20.62,9625985
6/6/2018,20.69,20.95,20.59,20.95,3542953
6/7/2018,20.94,21.04,20.68,20.78,3698441
6/8/2018,20.75,20.92,20.65,20.81,4232592
6/11/2018,20.82,20.96,20.77,20.89,6489556
6/12/2018,20.91,21.17,20.9,21.1,4685837
6/13/2018,21.1,21.115,20.89,20.97,3832982
6/14/2018,20.89,21.13,20.65,20.66,4724924
6/15/2018,20.64,20.72,20.42,20.69,5742801
6/18/2018,20.59,20.905,20.59,20.76,3977505
6/19/2018,20.58,21.04,20.55,21,5695828
6/20/2018,21.01,21.365,21,21.18,7243495
6/21/2018,21.22,21.37,21.04,21.08,2932332
6/22/2018,21.19,21.27,21.095,21.14,6312716
6/25/2018,21,21.02,20.64,20.78,3934081
6/26/2018,20.8,20.87,20.61,20.62,4446865
6/27/2018,20.66,20.73,20.3,20.31,4178093
6/28/2018,20.24,20.4,20.12,20.3,4466928
6/29/2018,20.32,20.48,20.24,20.33,3382014
7/2/2018,20.23,20.45,20.12,20.44,3034841
7/3/2018,20.5,20.53,20.09,20.11,2162525
7/5/2018,20.16,20.34,19.99,20.3,4133913
7/6/2018,20.31,20.46,20.21,20.25,3276995
7/9/2018,20.26,20.38,20.17,20.3,3815162
7/10/2018,20.28,20.49,20.26,20.44,3292442
7/11/2018,20.38,20.5,20.3,20.3,2454382
7/12/2018,20.41,20.46,20.19,20.41,2319745
7/13/2018,20.41,20.43,20.25,20.36,2668803
7/16/2018,20.37,20.455,20.17,20.27,2412824
7/17/2018,20.04,20.47,20.04,20.4,3899661
7/18/2018,20.35,20.415,19.99,20.16,5118380
7/19/2018,20.11,20.31,20.09,20.29,3821788
7/20/2018,20.28,20.36,20.21,20.28,2745067
7/23/2018,20.28,20.32,20.2,20.21,2247844
7/24/2018,20.28,20.32,20.09,20.22,4437377
7/25/2018,20.18,20.41,20.15,20.39,3462371
7/26/2018,20.37,20.595,20.31,20.4,2441645
7/27/2018,20.42,20.51,20.13,20.26,2397018
7/30/2018,20.26,20.27,19.92,20.11,3714075
7/31/2018,20.14,20.23,19.97,20.16,5598071
8/1/2018,20.15,20.41,19.99,20.15,5025431
8/2/2018,20.11,20.795,20.06,20.59,8278217
8/3/2018,19.51,19.84,19.11,19.4,15753929
8/6/2018,19.38,19.455,18.95,19.08,9558453
8/7/2018,19.07,19.35,19.07,19.17,7536164
8/8/2018,19.19,19.27,19.12,19.15,5381605
8/9/2018,19.15,19.205,18.89,18.92,3612345
8/10/2018,18.8,18.92,18.73,18.84,4367237
8/13/2018,18.85,18.85,18.5639,18.75,3684178
8/14/2018,18.77,18.91,18.72,18.81,3855938
8/15/2018,18.72,19.0262,18.67,18.9,6612514
8/16/2018,19.01,19.135,18.82,18.86,5382411
8/17/2018,18.78,19.195,18.78,18.91,5583185
8/20/2018,18.92,19.1,18.875,18.97,3985244
8/21/2018,18.99,19.08,18.84,18.89,3760559
8/22/2018,18.88,19.12,18.835,18.97,3214466
8/23/2018,19,19.06,18.795,18.89,3229165
8/24/2018,18.93,18.93,18.77,18.82,3039464
8/27/2018,18.87,18.93,18.715,18.84,4552517
8/28/2018,18.85,18.97,18.76,18.81,3432065
8/29/2018,18.79,18.99,18.76,18.89,3023674
8/30/2018,18.85,18.99,18.74,18.8,3794063
8/31/2018,18.74,19,18.72,18.92,3943185
9/4/2018,18.93,18.99,18.8,18.86,3391127
9/5/2018,18.78,18.83,18.56,18.71,5250729
9/6/2018,18.69,19.02,18.69,18.96,4784377
9/7/2018,18.91,18.975,18.835,18.89,2903056
9/10/2018,18.95,19.17,18.86,19.14,3489856
9/11/2018,19.05,19.21,18.975,19.16,4654983
9/12/2018,19.11,19.34,19.09,19.3,3537172
9/13/2018,19.22,19.33,18.665,18.74,7929879
9/14/2018,18.74,18.79,18.41,18.73,4843442
9/17/2018,18.77,18.975,18.49,18.52,5154282
9/18/2018,18.49,18.775,18.47,18.66,4512232
9/19/2018,18.73,18.84,18.58,18.6,4695564
9/20/2018,18.66,18.76,18.55,18.72,3990736
9/21/2018,18.79,19.07,18.77,19.03,10034874
9/24/2018,18.94,19.025,18.735,18.78,4537098
9/25/2018,18.79,18.92,18.74,18.77,4053730
9/26/2018,18.78,19.38,18.67,19.06,9555136
9/27/2018,19.04,19.155,18.91,18.94,3461495
9/28/2018,18.88,19.14,18.88,19.06,4190805
10/1/2018,19.15,19.27,18.95,19.01,3212051
10/2/2018,19.04,19.105,18.825,18.89,4203714
10/3/2018,19.01,19.175,18.98,19.08,2839183
10/4/2018,19.02,19.06,18.43,18.6,4876536
10/5/2018,18.57,18.67,18.085,18.17,7508494
10/8/2018,18.09,18.13,17.845,18.02,5650173
10/9/2018,17.96,18.2,17.85,18.17,7283551
10/10/2018,18.2,18.2,17.75,17.76,4942950
10/11/2018,17.72,18.03,17.59,17.67,6195242
10/12/2018,17.94,18.05,17.57,17.91,5121459
10/15/2018,17.93,18.21,17.84,18.04,4170926
10/16/2018,18.13,18.46,18.07,18.4,3426387
10/17/2018,18.36,18.57,18.27,18.42,2907156
10/18/2018,18.4,18.49,18.23,18.34,3349822
10/19/2018,18.47,18.52,18.13,18.18,4148006
10/22/2018,18.19,18.29,18.01,18.01,7820170
10/23/2018,17.76,18.04,17.76,17.94,7449587
10/24/2018,17.95,18.1,17.65,17.67,5475911
10/25/2018,17.81,18.02,17.73,17.93,4794832
10/26/2018,17.74,17.83,17.515,17.62,6480413
10/29/2018,17.76,17.91,17.3948,17.59,5610260
10/30/2018,17.62,17.87,17.56,17.87,6098500
10/31/2018,18.33,18.33,17.99,18.04,7538702
11/1/2018,18.03,18.1746,17.91,18.07,5443452
11/2/2018,17.82,18.41,17.81,17.91,6902706
11/5/2018,17.99,18.655,17.98,18.44,7024673
11/6/2018,18.39,18.64,18.29,18.48,4713809
11/7/2018,18.54,18.69,18.44,18.49,3452338
11/8/2018,18.44,18.985,18.44,18.97,5219218
11/9/2018,18.85,19,18.71,18.82,5104075
11/12/2018,18.78,18.91,18.54,18.56,3739287
11/13/2018,18.63,19.13,18.63,18.89,6419695
11/14/2018,19.02,19.16,18.68,18.87,5235530
11/15/2018,18.84,18.99,18.625,18.76,9782145
11/16/2018,18.7,19.04,18.7,18.89,6784297
11/19/2018,18.89,18.96,18.66,18.71,5292934
11/20/2018,18.26,18.71,18.26,18.62,4431857
11/21/2018,18.69,18.72,18.05,18.43,5516828
11/23/2018,18.3,18.485,18.3,18.46,832075
11/26/2018,18.63,18.67,18.44,18.53,4639037
11/27/2018,18.43,18.69,18.43,18.65,3519855
11/28/2018,18.76,18.99,18.7,18.85,6335675
11/29/2018,18.83,18.89,18.6,18.68,4250416
11/30/2018,18.66,18.75,18.58,18.73,6875409
12/3/2018,18.91,18.91,18.46,18.72,8626097
12/4/2018,18.72,18.74,18.22,18.36,5503211
12/6/2018,18.15,18.49,17.995,18.49,6117645
12/7/2018,18.45,18.57,18.02,18.15,5149876
12/10/2018,18.17,18.37,18.08,18.3,6343267
12/11/2018,18.51,18.58,18.245,18.37,7346334
12/12/2018,18.6,18.66,18.47,18.54,6434200
12/13/2018,18.64,18.77,18.52,18.7,5850689
12/14/2018,18.36,18.49,18.115,18.18,4481477
12/17/2018,18.16,18.22,17.72,17.82,3769581
12/18/2018,17.92,17.96,17.56,17.65,4607844
12/19/2018,17.7,17.9,17.41,17.49,4331320
12/20/2018,17.31,17.37,16.84,17.03,6133348
12/21/2018,17.03,17.36,16.73,16.83,8983768
12/24/2018,16.67,16.88,16.55,16.55,2637190
12/26/2018,16.63,17.025,16.42,17.01,4026222
12/27/2018,16.83,17.1,16.59,17.09,3872807
12/28/2018,17.14,17.26,16.9627,17.04,2664851
12/31/2018,17.04,17.13,16.83,17.06,2895899
1/2/2019,16.85,17.27,16.81,17.14,4954576
1/3/2019,17,17.09,16.85,16.87,4295222
1/4/2019,17.02,17.31,16.96,17.09,4908508
1/7/2019,17.11,17.195,16.87,17.04,6236155
1/8/2019,17.14,17.24,16.95,17.07,6332826
1/9/2019,17.16,17.555,17.16,17.32,5235566
1/10/2019,17.24,17.485,17.24,17.41,4387138
1/11/2019,17.33,17.55,17.33,17.52,3949145
1/14/2019,17.42,17.62,17.41,17.5,5238284
1/15/2019,17.49,17.78,17.4,17.7,3898837
1/16/2019,17.73,17.9,17.715,17.75,4239178
