Date,Open,High,Low,Close,Volume
4/19/2018,66.99,67.38,64.87,64.9,7698991
4/20/2018,65.02,65.29,63.55,64.15,5873624
4/23/2018,64.82,66.12,63.67,63.71,4315313
4/24/2018,64.2,65.02,63.41,64.03,5021561
4/25/2018,64.31,64.42,62.54,63.64,4757286
4/26/2018,65.12,66.75,64.12,64.72,4267439
4/27/2018,65.35,65.56,64.33,64.76,3294663
4/30/2018,64.81,65.49,64,64.24,3043142
5/1/2018,64.03,64.63,63.74,64.53,1836866
5/2/2018,64.68,65.6,64.54,65.12,2956708
5/3/2018,64.53,66.01,63.91,65.82,1852074
5/4/2018,65.44,67.02,65.27,66.95,1819785
5/7/2018,67.05,67.64,66.96,67.23,2577146
5/8/2018,67.31,67.68,66.61,67.65,2822448
5/9/2018,68.05,68.589,67.42,68.43,1886351
5/10/2018,68.8,69.76,68.57,69.72,1773445
5/11/2018,69.46,69.98,69.02,69.2,1675768
5/14/2018,69.69,71.89,69.69,71.44,3371837
5/15/2018,70.72,71.16,70.11,70.42,2443608
5/16/2018,70.31,71.02,70.22,70.99,1651833
5/17/2018,71.12,71.89,70.781,71.47,1815113
5/18/2018,71.13,71.6,70.71,71.23,2370883
5/21/2018,72.09,72.79,71.6,72.27,2338137
5/22/2018,72.49,72.74,71.63,71.67,1779064
5/23/2018,69.23,69.4889,68.03,68.76,4778362
5/24/2018,68.67,68.98,67.93,68.74,2654145
5/25/2018,68.99,69.86,68.92,69.6,1956275
5/29/2018,69.09,69.355,67.93,68.23,2139429
5/30/2018,68.5,68.77,67.71,68.02,2194849
5/31/2018,67.84,68.76,67.6,68.11,4430140
6/1/2018,68.9,70.74,68.7,70.37,3214898
6/4/2018,70.6,70.8123,69.43,70.33,1795446
6/5/2018,70.44,70.83,70.3,70.42,1662257
6/6/2018,70.58,70.82,69.92,70.66,2147477
6/7/2018,70.63,72.05,70.23,70.69,1749772
6/8/2018,70.41,70.69,68.89,69.54,1392743
6/11/2018,69.52,70.34,69.39,69.72,1419816
6/12/2018,69.87,70.19,69.4,70,952179
